,TP,FP,FN,precision,recall,F1
mei_xu,296.0,3332.0,48.0,0.08158765159867695,0.8604651162790697,0.14904330312185296
mian_chen,2932.0,644.0,7817.0,0.819910514541387,0.27276955995906593,0.4093542757417102
yong_qing_huang,1947.0,1578.0,4129.0,0.5523404255319149,0.3204410796576695,0.4055827517966878
yin_shi,2271.0,1155.0,2351.0,0.6628721541155866,0.4913457377758546,0.5643638170974156
lili_ma,2237.0,1141.0,1720.0,0.6622261693309651,0.5653272681324235,0.6099522835719156
kwok_fai_so,3002.0,376.0,8040.0,0.8886915334517466,0.27187103785546096,0.41636615811373096
wen_chang_chen,3013.0,318.0,7304.0,0.9045331732212549,0.2920422603470001,0.4415298944900352
mei_ling_chen,1204.0,2081.0,723.0,0.3665144596651446,0.6248053969901401,0.4620107444359171
yue_tian,881.0,2359.0,760.0,0.2719135802469136,0.5368677635588056,0.3609916000819504
s_lin,114.0,3082.0,3.0,0.03566958698372966,0.9743589743589743,0.06881980078478721
yongqing_li,1609.0,1502.0,1288.0,0.5171970427515269,0.5554021401449776,0.5356191744340879
junling_wang,767.0,2078.5,597.0,0.269548409769812,0.5623167155425219,0.36441382587005583
chun_hung_lin,1420.0,1425.0,1321.0,0.4991212653778559,0.5180591025173295,0.5084138918725385
guotong_du,2656.0,122.0,6935.0,0.9560835133189345,0.27692628505890937,0.429460748645808
jianqiang_yi,2405.0,196.0,2209.0,0.9246443675509419,0.5212397052449068,0.6666666666666666
chih_ming_lin,802.0,1701.0,751.0,0.32041550139832203,0.5164198325820991,0.39546351084812625
weiming_zhu,1197.0,1189.0,1273.0,0.5016764459346186,0.4846153846153846,0.49299835255354196
hongbin_liang,2230.0,20.0,0.0,0.9911111111111112,1.0,0.9955357142857144
li_zhu_wu,2226.0,4.0,2531.0,0.9982062780269059,0.46794198023964684,0.6371833404894806
xiaobing_luo,2112.0,117.0,1424.0,0.9475100942126514,0.5972850678733032,0.7326973113616653
